stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,municipality_id,stop_desc,stop_timezone,wheelchair_boarding,platform_code,vehicle_type
205176,,Helsingintie-Lavolankatu keskustaan,61.0550514,28.175880700000004,1,http://405,0,,405,,,0,,
205177,,Helsingintie-Lavolankatu keskustasta,61.0552477,28.174584600000003,1,http://405,0,,405,,,0,,
205178,,Helsingintie-leirintäalue keskustaan,61.0531999,28.155118700000003,1,http://405,0,,405,,,0,,
205179,,Helsingintie-leirintäalue keskustasta,61.05316740000001,28.153042700000004,1,http://405,0,,405,,,0,,
205180,,Helsingintie-Merenlahdentie keskustasta,61.045289800000006,28.113714100000003,1,http://405,0,,405,,,0,,
205181,,Helsingintie-Puolakatu keskustaan,61.04827,28.1247125,1,http://405,0,,405,,,0,,
205182,,Helsingintie-Puolakatu keskustasta,61.048093400000006,28.122693,1,http://405,0,,405,,,0,,
205183,,Helsingintie-Skinnarilankatu keskustaan,61.046503300000005,28.118013800000003,1,http://405,0,,405,,,0,,
205184,,Hiessillankatu 3 keskustaan,61.0387381,28.227063700000002,1,http://405,0,,405,,,0,,
205185,,Hiessillankatu 5 keskustaan,61.03892080000001,28.222307300000004,1,http://405,0,,405,,,0,,
205186,,Hiessillankatu 6 keskustasta,61.038883000000006,28.221349900000003,1,http://405,0,,405,,,0,,
205187,,Kivisalmi,61.096484200000006,28.138351000000004,1,http://405,0,,405,,,0,,
205188,,Hovinkatu keskustaan,61.07484300000001,28.294281500000004,1,http://405,0,,405,,,0,,
205189,,Hovinkatu-Isopällinkatu keskustaan,61.073539800000006,28.291329800000003,1,http://405,0,,405,,,0,,
205190,,Hovinkatu-Isopällinkatu keskustasta,61.073482500000004,28.291582100000003,1,http://405,0,,405,,,0,,
205191,,Hovinkatu-Tuohimäenkatu keskustaan,61.0724092,28.288682800000004,1,http://405,0,,405,,,0,,
205192,,Hovinkatu-Tuohimäenkatu keskustasta,61.07224300000001,28.288775200000003,1,http://405,0,,405,,,0,,
205193,,Wäinönkatu L,61.053796000000006,28.139369600000002,1,http://405,0,,405,,,0,,
205194,,Huhtiniemenkatu 6 keskustasta,61.0533951,28.137090600000004,1,http://405,0,,405,,,0,,
205195,,Imatrantie I,61.0614337,28.204595500000003,1,http://405,0,,405,,,0,,
205196,,Imatrantie L,61.06129380000001,28.202965300000002,1,http://405,0,,405,,,0,,
205197,,Imatrantie-Kaukaankatu keskustaan,61.062851,28.218465500000004,1,http://405,0,,405,,,0,,
205198,,Keskussairaala L,61.06357570000001,28.211791,1,http://405,0,,405,,,0,,
205199,,Keskussairaala I,61.063422300000006,28.211119200000002,1,http://405,0,,405,,,0,,
205200,,Isopällinkatu 15 keskustasta,61.07185390000001,28.2948796,1,http://405,0,,405,,,0,,
205201,,Itäinen Kanavatie 2 keskustaan,61.064427800000004,28.315254600000003,1,http://405,0,,405,,,0,,
205202,,Itäinen Kanavatie-Mastokatu keskustasta,61.076745100000004,28.303770000000004,1,http://405,0,,405,,,0,,
205203,,Itäinen Kanavatie-Messikatu keskustaan,61.0746747,28.305854000000004,1,http://405,0,,405,,,0,,
205204,,Itäinen Kanavatie-Messikatu keskustasta,61.07388,28.306580800000003,1,http://405,0,,405,,,0,,
205205,,Joukahaisenkatu 35 keskustasta,61.05760730000001,28.243251600000004,1,http://405,0,,405,,,0,,
205206,,Joukahaisenkatu 44 keskustaan,61.05797510000001,28.244675500000003,1,http://405,0,,405,,,0,,
205207,,Joukahaisenkatu 57 keskustasta,61.05914190000001,28.252254100000002,1,http://405,0,,405,,,0,,
205208,,Joukahaisenkatu 64 keskustaan,61.058933,28.251,1,http://405,0,,405,,,0,,
205209,,Joukahaisenkatu 71 keskustasta,61.06087170000001,28.255829700000003,1,http://405,0,,405,,,0,,
205210,,Joukahaisenkatu 78 keskustaan,61.060475800000006,28.254679000000003,1,http://405,0,,405,,,0,,
205211,,Jupiterinkatu 7 keskustasta,61.05673900000001,28.093866400000003,1,http://405,0,,405,,,0,,
205212,,Jupiterinkatu-Jalopeurankatu keskustaan,61.05604950000001,28.094084900000002,1,http://405,0,,405,,,0,,
205214,,Kalevankatu 1 keskustasta,61.06227750000001,28.259884200000002,1,http://405,0,,405,,,0,,
205215,,Kalevankatu 23 keskustasta,61.06383410000001,28.264473600000002,1,http://405,0,,405,,,0,,
205216,,Kalevankatu 24 keskustaan,61.063598600000006,28.263416300000003,1,http://405,0,,405,,,0,,
205217,,Kalevankatu 44 keskustaan,61.065933900000005,28.267755800000003,1,http://405,0,,405,,,0,,
205218,,Kalevankatu 44 keskustasta,61.066158900000005,28.2685926,1,http://405,0,,405,,,0,,
205219,,Karhuvuorenkatu 17 keskustaan,61.045881900000005,28.2438375,1,http://405,0,,405,,,0,,
205220,,Karhuvuorenkatu 19 keskustaan,61.0416359,28.245263,1,http://405,0,,405,,,0,,
205221,,Karhuvuori,61.04778900000001,28.239633400000002,1,http://405,0,,405,,,0,,
205222,,Karhuvuorenkatu keskustaan,61.044139200000004,28.244213000000002,1,http://405,0,,405,,,0,,
205223,,Karhuvuorenkatu-Kaarelankatu keskustaan,61.040195100000005,28.229739700000003,1,http://405,0,,405,,,0,,
205224,,Karhuvuorenkatu-Pellavakatu keskustaan,61.04110480000001,28.236157700000003,1,http://405,0,,405,,,0,,
205225,,Karjalantie 2 keskustasta,61.06831340000001,28.253293000000003,1,http://405,0,,405,,,0,,
205226,,Karjalantie 7 keskustaan,61.06804590000001,28.2531272,1,http://405,0,,405,,,0,,
205227,,Karjalantie 25 keskustaan,61.070330600000005,28.260686900000003,1,http://405,0,,405,,,0,,
205228,,Karjalantie I,61.0699278,28.2687853,1,http://405,0,,405,,,0,,
205229,,Karjalantie 25 keskustasta,61.070454100000006,28.261776400000002,1,http://405,0,,405,,,0,,
205230,,Karjalantie L,61.0702057,28.268911900000003,1,http://405,0,,405,,,0,,
205231,,Kartanontie keskustasta,61.0756354,28.272335,1,http://405,0,,405,,,0,,
205232,,Kaukaankatu 19a keskustasta,61.064550800000006,28.227461800000004,1,http://405,0,,405,,,0,,
205233,,Kaukaankatu 20-22 keskustaan,61.06424210000001,28.225933800000004,1,http://405,0,,405,,,0,,
205234,,Kauppakatu 58-60 keskustaan,61.0533659,28.191868200000002,1,http://405,0,,405,,,0,,
205235,,Kauppakatu 67 keskustasta,61.05363140000001,28.190981900000004,1,http://405,0,,405,,,0,,
205236,,Kauppakatu 72 keskustaan,61.0511806,28.194714,1,http://405,0,,405,,,0,,
205237,,Kauppakatu 73 keskustasta,61.051059,28.194339400000004,1,http://405,0,,405,,,0,,
205238,,Kivisalmenkatu keskustaan,61.077016500000006,28.151971000000003,1,http://405,0,,405,,,0,,
205239,,Kivistönkatu,61.089974500000004,28.145702900000003,1,http://405,0,,405,,,0,,
205240,,Kivistönkatu 2 keskustasta,61.09003140000001,28.145330700000002,1,http://405,0,,405,,,0,,
205241,,Pilotinkatu I,61.039154800000006,28.1642532,1,http://405,0,,405,,,0,,
205242,,Pilotinkatu L,61.03911060000001,28.164726200000004,1,http://405,0,,405,,,0,,
205244,,Kornetinkatu 4 keskustasta,61.053712000000004,28.141946900000004,1,http://405,0,,405,,,0,,
205245,,Korpikunnaankatu 1 keskustasta,61.050498600000005,28.103524300000004,1,http://405,0,,405,,,0,,
205246,,Keskusta L,61.059251,28.1861904,1,http://405,0,,405,,,0,,
205247,,Keskusta I,61.0592346,28.1869723,1,http://405,0,,405,,,0,,
205249,,Armada,61.05903790000001,28.184685200000004,1,http://405,0,,405,,,0,,
205250,,Kurjentie 27 keskustaan,61.03537190000001,28.166154000000002,1,http://405,0,,405,,,0,,
205251,,Kurjentie 28 keskustasta,61.0351678,28.165787700000003,1,http://405,0,,405,,,0,,
205252,,Kurjentie 3 keskustaan,61.03768600000001,28.1687699,1,http://405,0,,405,,,0,,
205253,,Kurjentie 6 keskustasta,61.03708290000001,28.167775400000004,1,http://405,0,,405,,,0,,
205254,,Kurjentie 67 keskustaan,61.030677100000005,28.163014900000004,1,http://405,0,,405,,,0,,
205255,,Kurjentie 75 keskustaan,61.028165300000005,28.163297500000002,1,http://405,0,,405,,,0,,
205256,,Kuusimäenkatu 18 keskustaan,61.053563100000005,28.1519046,1,http://405,0,,405,,,0,,
